Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,xA per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",conference_season,conference_type,Season
A.  Skinner,Virginia Tech Hokies,GK,21.0,18,1803,0,0.0,0,0.0,0.9,88.89,United States,United States,175,0,1.35,0.05,100.0,0.7,85.71,0.0,0.0,0.0,1.3,1.78,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,17.12,0.0,0.35,24.66,85.43,13.73,76.0,0.0,0.0,10.38,97.6,15.67,98.09,8.99,63.33,29.78,41.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.1,0.0,0.1,0.0,0.0,0.0,6.29,71.43,17,0.85,94,4.69,7,81.91,20.11,1.0,3.11,0.155,0.0,1.6,0.7,,,,0.0,0,0.0,ACC 2023,Power 5,2023
V. Haugen,Virginia Tech Hokies,RCB,21.0,18,1758,0,0.0,1,1.05,9.27,54.7,United States,United States,170,0,8.65,4.91,68.75,1.54,40.0,0.1,0.14,0.41,5.17,7.06,0.2,3,0.15,0,0.0,0.67,0.0,0,0.0,0.0,0,0.0,1,0.05,0.0,0.0,0.05,0.05,0.26,20.0,0.0,0.0,0.26,20.0,0.05,0.77,60.0,1.84,44.44,0.0,1.54,26.31,0.41,0.36,40.6,79.95,18.63,65.66,5.32,98.08,14.44,93.26,31.59,88.82,8.86,49.71,23.38,36.6,0.61,0.0,0.0,0.31,50.0,0.2,6.86,55.22,1.02,35.0,1.18,43.48,0.36,0.05,10.24,66.5,0,,0,,0,0.0,0.0,0.0,,,4.61,,,1.64,0.05,0.0,0.05,0,0.0,ACC 2023,Power 5,2023
B. Weber,NC State Wolfpack,"LCB , DMF",,18,1752,0,0.5,1,1.33,9.14,44.94,United States,United States,172,0,8.58,3.96,59.74,1.64,34.38,0.05,0.06,0.98,6.16,6.7,0.36,3,0.15,0,0.0,0.41,0.0,0,0.0,0.03,0,0.0,5,0.26,40.0,0.0,0.05,0.07,0.05,100.0,0.05,100.0,0.0,0.0,0.0,0.62,41.67,2.57,30.0,0.21,0.1,15.57,0.05,0.31,25.33,73.02,11.46,56.05,2.11,92.68,9.4,90.71,19.57,81.63,5.7,43.24,22.14,37.01,0.21,0.05,0.0,0.0,0.0,0.1,3.08,65.0,0.26,60.0,0.21,25.0,0.1,0.05,6.06,45.76,0,,0,,0,0.0,0.0,0.0,,,0.72,,,0.62,0.05,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
S. Costello,Boston College Eagles,"RCB , RCB3",,18,1752,0,0.1,0,0.0,10.74,63.64,United States,United States,170,0,8.53,5.8,70.8,1.64,62.5,0.15,0.19,0.57,4.26,5.12,0.05,0,0.0,0,0.0,0.41,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.0,0.0,0.15,66.67,0.0,0.0,0.15,66.67,0.0,0.41,62.5,1.54,46.67,0.05,0.72,17.21,0.1,0.46,30.05,75.9,16.44,69.06,2.52,93.88,8.68,84.62,24.97,83.95,4.98,36.08,19.31,31.31,0.0,0.0,0.05,0.1,50.0,0.0,4.37,52.94,0.46,33.33,0.1,50.0,0.15,0.05,6.47,53.97,0,,0,,0,0.0,0.0,0.0,,,2.05,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
E. Skyers,Virginia Tech Hokies,LB,,18,1746,1,0.18,1,1.91,21.19,61.31,United States,United States,168,0,14.43,12.16,71.19,1.44,64.29,1.29,1.75,0.21,4.48,6.1,1.03,1,0.05,0,0.0,2.16,0.05,1,0.05,0.01,0,0.0,6,0.31,50.0,16.667,0.05,0.1,2.11,24.39,2.11,24.39,0.0,0.0,0.1,2.32,62.22,5.26,49.02,0.1,1.39,22.22,0.82,0.82,35.82,66.76,17.37,55.19,5.31,93.2,7.42,77.78,29.54,74.0,4.23,36.59,19.04,30.0,0.88,0.05,0.0,0.05,100.0,0.0,6.03,51.28,1.91,35.14,0.46,22.22,0.21,0.57,9.43,58.47,0,,0,,0,0.0,0.0,0.0,,,0.36,,,0.31,0.1,100.0,2.63,0,0.0,ACC 2023,Power 5,2023
K. Grant,Syracuse Orange,"LCB , RB",20.0,17,1738,0,0.11,0,0.19,16.16,50.96,Canada,Canada,165,0,10.15,8.96,54.34,2.02,38.46,0.1,0.13,0.62,5.18,6.68,0.16,2,0.1,0,0.0,1.09,0.0,0,0.0,0.01,0,0.0,3,0.16,33.33,0.0,0.0,0.01,0.36,14.29,0.05,0.0,0.31,16.67,0.05,1.4,66.67,3.68,50.7,0.05,0.52,17.92,0.21,0.78,31.85,78.21,13.72,64.53,3.88,92.0,11.44,90.95,27.81,85.29,3.68,30.99,19.3,31.5,0.05,0.0,0.0,0.16,33.33,0.0,2.23,46.51,0.67,23.08,0.21,25.0,0.1,0.1,5.9,45.61,0,,0,,0,0.0,0.0,0.0,,,1.55,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
S. Vanderbosch,Syracuse Orange,GK,,17,1738,0,0.0,0,0.0,1.29,80.0,United States,United States,170,0,1.76,0.31,50.0,0.67,92.31,0.05,0.07,0.0,1.55,2.0,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,16.05,0.05,0.26,24.55,75.53,13.26,57.81,0.0,0.0,9.99,96.37,13.77,96.62,10.77,48.56,31.06,44.71,0.0,0.0,0.0,0.0,0.0,0.0,0.72,14.29,0.0,0.0,0.0,0.0,0.0,0.0,8.23,55.35,46,2.38,165,8.54,2,72.12,45.76,2.37,-0.24,-0.012,0.0,1.09,0.67,,,,0.0,0,0.0,ACC 2023,Power 5,2023
E. Floyd,Louisville Cardinals,GK,,18,1738,0,0.0,0,0.0,0.93,77.78,United States,United States,173,0,2.95,0.26,60.0,0.31,100.0,0.0,0.0,0.0,2.8,3.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,66.67,0.0,0.0,6.16,0.05,0.21,13.67,57.95,10.72,53.62,0.05,0.0,2.85,76.36,3.52,86.76,10.15,47.96,39.8,44.91,0.0,0.0,0.0,0.0,0.0,0.0,1.71,24.24,0.05,0.0,0.05,0.0,0.0,0.0,6.01,65.52,24,1.24,79,4.09,4,69.62,23.95,1.24,-0.05,-0.003,0.0,1.45,0.31,,,,0.0,0,0.0,ACC 2023,Power 5,2023
H. Mackiewicz,Clemson Tigers,GK,,18,1727,0,0.0,0,0.0,0.73,78.57,United States,United States,177,0,1.72,0.1,100.0,0.31,100.0,0.0,0.0,0.0,1.62,2.49,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,10.21,0.05,0.26,15.84,87.83,6.15,72.88,0.0,0.0,8.18,98.09,11.26,98.61,4.53,62.07,25.81,34.34,0.0,0.0,0.0,0.0,0.0,0.0,0.31,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,62.26,9,0.47,50,2.61,12,82.0,14.18,0.74,5.18,0.27,0.0,0.52,0.31,,,,0.0,0,0.0,ACC 2023,Power 5,2023
S. King,North Carolina Heels,"CB , LCB , RCB3",,18,1726,0,0.33,0,0.11,9.02,71.1,United States,United States,167,0,7.04,4.38,78.57,1.25,79.17,0.31,0.57,0.16,3.29,5.94,0.26,2,0.1,0,0.0,0.94,0.0,0,0.0,0.02,0,0.0,8,0.42,37.5,0.0,0.0,0.01,0.16,100.0,0.1,100.0,0.05,100.0,0.05,0.68,84.62,1.72,60.61,0.16,0.31,42.6,0.21,0.26,61.58,89.42,18.51,73.8,4.17,97.5,32.59,97.28,55.85,92.53,5.58,57.94,19.39,33.88,0.16,0.0,0.0,0.21,25.0,0.05,6.88,70.45,0.37,42.86,0.47,33.33,0.16,0.16,7.35,63.12,0,,0,,0,0.0,0.0,0.0,,,2.29,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
